concelho;IndRural;pop.res;Perc.pop.Act;Perc.criancas;Perc.idosos;TxDesemp;Hospitais1000;CentrosSaude1000;Rendim;Escolaridade;PropMulheres;HabCentrosSaude;N.Cxs.MB;Ano
Abrantes;0,29;36909;0,609824162;0,118914086;0,271261752;0,091;0,027093663;0,027093663;968,3;7,03;0,522;39147,5;48;2016
agueda;0,12;46855;0,656834916;0,12878028;0,214384804;0,064;0,021342439;0,021342439;931,3;7,13;0,521;3178,6;55;2016
Aguiar da Beira;0,54;5081;0,634914387;0,091517418;0,273568195;0,062;0;0,196811651;737,3;5,26;0,535;5453,5;6;2016
Alandroal;0,6;5404;0,595669874;0,105662472;0,298667654;0,086;0;0,185048113;827,3;5,61;0,518;529,8;4;2016
Albergaria-a-Velha;0,24;24528;0,669765166;0,136904762;0,193330072;0,063;0;0,040769733;937,3;7,14;0,52;3148,2;25;2016
Albufeira;0,19;40232;0,675805329;0,166086697;0,158107974;0,09;0,024855836;0,024855836;893,3;8,16;0,515;8114,7;89;2016
Alcacer do Sal;0,31;12266;0,600766346;0,123104517;0,276129137;0,055;0;0,08152617;895,3;6,09;0,521;1625,2;19;2016
Alcanena;0,33;13239;0,622479039;0,130372385;0,247148576;0,048;0,075534406;0,075534406;932,3;7,01;0,523;13809;22;2016
Alcobaca;0,17;55150;0,656736174;0,127869447;0,215394379;0,052;0,018132366;0,018132366;873,3;7,06;0,52;56643,5;72;2016
Alcochete;0;18733;0,654406662;0,184273742;0,161319596;0,069;0;0,160145198;1512,3;8,82;0,522;5913,3;26;2016
Alcoutim;0,61;2513;0,480302427;0,06804616;0,451651413;0,053;0;0,39793076;789,3;4,88;0,51;957,7;4;2016
Alenquer;0,31;43070;0,655630369;0,159972138;0,184397492;0,053;0;0,023218017;1014,3;7,3;0,516;43294;47;2016
Alfândega da Fe;0,6;4728;0,595177665;0,090736041;0,314086294;0,147;0;0,211505922;767,3;5,86;0,516;2535;4;2016
Alijo;0,73;11170;0,594986571;0,108236347;0,296777081;0,095;0;0,089525515;871,3;5,73;0,524;1700,1;10;2016
Aljezur;0,43;5622;0,563322661;0,129491284;0,307186055;0,069;0;0,177872643;813,3;6,95;0,513;1947;11;2016
Aljustrel;0,37;8672;0,629266605;0,112661439;0,258071956;0,065;0;0,115313653;932,3;6,5;0,509;2302,9;11;2016
Almada;0;169914;0,628806337;0,151170592;0,22002307;0,079;0,00588533;0,01177066;1008,3;8,45;0,53;86952,8;210;2016
Almeida;0,51;6394;0,574913982;0,065217391;0,359868627;0,048;0;0,156396622;771,3;6,02;0,536;1793,1;9;2016
Almeirim;0,15;23169;0,619318918;0,146014071;0,234667012;0,076;0;0,04316112;849,3;6,92;0,531;23431,5;20;2016
Almodôvar;0,44;7026;0,591090236;0,116424708;0,292485056;0,077;0;0,142328494;790,3;5,89;0,514;824,8;12;2016
Alpiarca;0;7340;0,597547684;0,139237057;0,263215259;0,082;0;0,136239782;883,3;6,64;0,516;7683,5;7;2016
Alter do Chao;0,33;3346;0,592946802;0,107292289;0,299760909;0,095;0;0,298864316;812,3;6,03;0,529;893;6;2016
Alvaiazere;0,72;6923;0,579373104;0,097356637;0,323270259;0,075;0,144446049;0,144446049;756,3;5,69;0,537;1212;9;2016
Alvito;0,5;2502;0,663069544;0,111910472;0,225019984;0,073;0;0,399680256;928,3;6,55;0,522;1261;3;2016
Amadora;0;176298;0,628798965;0,151306311;0,219894724;0,08;0,011344428;0,017016642;1225,3;8,21;0,533;58479,8;200;2016
Amarante;0,12;54604;0,690865138;0,139879862;0,169255;0,102;0,018313677;0,018313677;857,3;6,63;0,523;11241,3;39;2016
